"longitude","latitude","category","name",,
"-77.06329 "," 38.86364","district_of_columbia_Eating_Drin",,,
"-77.0428 "," 38.89692","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.86364","district_of_columbia_Eating_Drin",,,
"-77.06277 "," 38.86367","Cafe","Starbucks",,
"-77.06293 "," 38.86369","Restaurant","Lebanese Taverna",,
"-77.06278 "," 38.8639","Restaurant","Pizza Milano",,
"-77.06256 "," 38.86455","Cafe","Sandella's Flatbread Cafe",,
"-77.06254 "," 38.86464","Fast Food Restaurant","Smoothie King",,
"-77.06248 "," 38.86482","Restaurant","Baja Fresh",,
"-77.0595 "," 38.86969","Drinking water source",,,
"-77.06019 "," 38.87289","Drinking water source",,,
"-77.04437 "," 38.89419","Pub",,,
"-77.04462 "," 38.89622","Cafe","Starbucks",,
"-77.04469 "," 38.89626","Fast Food Restaurant","Subway",,
"-77.05103 "," 38.89652","Cafe","Casey's Coffee",,
"-77.0428 "," 38.90164","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.89679","district_of_columbia_Eating_Drin",,,
"-77.05114 "," 38.89696","Fast Food Restaurant","Sizzling Express",,
"-77.04387 "," 38.89752","Fast Food Restaurant","Pizza Italia",,
"-77.04549 "," 38.89754","Fast Food Restaurant","Carvings",,
"-77.04316 "," 38.89754","Cafe","Juan Valdez Cafe",,
"-77.05514 "," 38.89773","Restaurant","600 Restaurant at the Watergate",,
"-77.04394 "," 38.89816","Cafe","Cupa Cupa",,
"-77.04644 "," 38.89818","Pub","Tonic",,
"-77.05267 "," 38.90023","Restaurant","Nottie Bianche",,
"-77.04455 "," 38.90026","Restaurant","Founding Farmers",,
"-77.04578 "," 38.90051","Restaurant","Kinkead's",,
"-77.04514 "," 38.90051","Restaurant","Johnny Rocket",,
"-77.04608 "," 38.90051","Restaurant","Bertucci's Brick Oven Pizzeria",,
"-77.04641 "," 38.90053","Pub","Lindy's Red Lion",,
"-77.0428 "," 38.90053","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.90054","district_of_columbia_Eating_Drin",,,
"-77.06059 "," 38.90151","Restaurant","Nick's Riverside Grille",,
"-77.06029 "," 38.90164","Restaurant","Cabanas",,
"-77.0597 "," 38.9013","Restaurant","Tony & Joe's Seafood Place",,
"-77.05936 "," 38.90139","Restaurant","Sequoia Grill",,
"-77.05361 "," 38.90147","Restaurant","Dish",,
"-77.05073 "," 38.901","Cafe","Starbucks Coffee",,
